Артикул,Средняя_позиция,Дата
360788540,436.0,2025-07-24 16:19:10.247443+03:00
364671540,314.6,2025-07-24 16:17:15.461434+03:00
382936452,256.2,2025-07-24 16:17:11.320849+03:00
420984066,986.0,2025-07-24 16:19:40.699089+03:00
421060912,287.2,2025-07-24 16:21:23.086657+03:00
425542423,356.0,2025-07-24 16:24:36.408405+03:00
425577327,312.3,2025-07-24 16:23:56.182925+03:00
439019942,552.4,2025-07-24 16:19:27.305815+03:00
360788540,436.0,2025-07-24 16:19:10.247443+03:00
364671540,314.6,2025-07-24 16:17:15.461434+03:00
382936452,256.2,2025-07-24 16:17:11.320849+03:00
420984066,986.0,2025-07-24 16:19:40.699089+03:00
421060912,287.2,2025-07-24 16:21:23.086657+03:00
425542423,356.0,2025-07-24 16:24:36.408405+03:00
425577327,312.3,2025-07-24 16:23:56.182925+03:00
439019942,552.4,2025-07-24 16:19:27.305815+03:00
360788540,436.3,2025-07-24 16:48:34
364671540,314.4,2025-07-24 16:48:34
382936452,256.2,2025-07-24 16:48:34
420984066,988.0,2025-07-24 16:48:34
421060912,293.1,2025-07-24 16:48:34
425542423,356.0,2025-07-24 16:48:34
425577327,313.1,2025-07-24 16:48:34
439019942,550.0,2025-07-24 16:48:34
360788540,436.1,2025-07-24 17:00:39
364671540,314.8,2025-07-24 17:00:39
382936452,249.8,2025-07-24 17:00:39
420984066,989.0,2025-07-24 17:00:39
421060912,287.1,2025-07-24 17:00:39
425542423,356.0,2025-07-24 17:00:39
425577327,313.6,2025-07-24 17:00:39
439019942,549.7,2025-07-24 17:00:39
360788540,435.9,2025-07-24 17:11:21
364671540,314.8,2025-07-24 17:11:21
382936452,249.2,2025-07-24 17:11:21
420984066,989.0,2025-07-24 17:11:21
421060912,288.4,2025-07-24 17:11:21
425542423,355.8,2025-07-24 17:11:21
425577327,313.7,2025-07-24 17:11:21
439019942,549.1,2025-07-24 17:11:21
360788540,499.0,2025-07-24 18:35:02
364671540,318.8,2025-07-24 18:35:02
382936452,252.0,2025-07-24 18:35:02
420984066,946.0,2025-07-24 18:35:02
421060912,285.9,2025-07-24 18:35:02
425542423,354.8,2025-07-24 18:35:02
425577327,309.7,2025-07-24 18:35:02
439019942,527.1,2025-07-24 18:35:02
360788540,453.9,2025-07-24 19:16:56
364671540,319.9,2025-07-24 19:16:56
382936452,237.4,2025-07-24 19:16:56
420984066,943.0,2025-07-24 19:16:56
421060912,287.1,2025-07-24 19:16:56
425542423,356.2,2025-07-24 19:16:56
425577327,305.6,2025-07-24 19:16:56
439019942,518.0,2025-07-24 19:16:56
360788540,454.7,2025-07-24 19:26:45
364671540,320.4,2025-07-24 19:26:45
382936452,237.4,2025-07-24 19:26:45
420984066,944.0,2025-07-24 19:26:45
421060912,281.6,2025-07-24 19:26:45
425542423,355.5,2025-07-24 19:26:45
425577327,300.0,2025-07-24 19:26:45
439019942,547.6,2025-07-24 19:26:45
360788540,452.7,2025-07-24 19:45:16
364671540,322.6,2025-07-24 19:45:16
382936452,239.0,2025-07-24 19:45:16
420984066,939.0,2025-07-24 19:45:16
